alias,real_name,definition,category,db_table,db_column,db_type
Dot plot,FOMC dot plot,Rates or macro derivative concept,Rates/Macro,risk_metrics,term_code,text
FOMC,Federal Open Market Committee,Rates or macro derivative concept,Rates/Macro,trades,counterparty_id,integer
QE,Quantitative easing,Rates or macro derivative concept,Rates/Macro,portfolios,weight,numeric
QT,Quantitative tightening,Rates or macro derivative concept,Rates/Macro,risk_metrics,greek,text
Basis trade,Basis trade,Rates or macro derivative concept,Rates/Macro,trades,notional,numeric
Swap spread,Swap spread,Rates or macro derivative concept,Rates/Macro,portfolios,rebalance_date,date
TED spread,TED spread,Rates or macro derivative concept,Rates/Macro,risk_metrics,value_date,date
FRA/OIS spread,FRA/OIS spread,Rates or macro derivative concept,Rates/Macro,trades,trade_ts,timestamp
Forward curve,Forward curve,Rates or macro derivative concept,Rates/Macro,portfolios,strategy_code,text
Roll-down trade,Roll-down trade,Rates or macro derivative concept,Rates/Macro,risk_metrics,metric_value,numeric
Risk book,Risk book,Portfolio/risk concept,Positioning & Risk,trades,trade_id,bigint
Overweight,Overweight,Portfolio/risk concept,Positioning & Risk,portfolios,portfolio_id,bigint
Underweight,Underweight,Portfolio/risk concept,Positioning & Risk,risk_metrics,metric_id,bigint
Neutral,Neutral,Portfolio/risk concept,Positioning & Risk,trades,term_code,text
Hedge,Hedge,Portfolio/risk concept,Positioning & Risk,portfolios,term_code,text
Overlay,Overlay,Portfolio/risk concept,Positioning & Risk,risk_metrics,term_code,text
Gross exposure,Gross exposure,Portfolio/risk concept,Positioning & Risk,trades,counterparty_id,integer
Net exposure,Net exposure,Portfolio/risk concept,Positioning & Risk,portfolios,weight,numeric
Leverage,Leverage,Portfolio/risk concept,Positioning & Risk,risk_metrics,greek,text
VaR,Value at Risk,Portfolio/risk concept,Positioning & Risk,trades,notional,numeric
PnL,Profit and Loss,Portfolio/risk concept,Positioning & Risk,portfolios,rebalance_date,date
Sharpe,Sharpe,Portfolio/risk concept,Positioning & Risk,risk_metrics,value_date,date
Drawdown,Drawdown,Portfolio/risk concept,Positioning & Risk,trades,trade_ts,timestamp
Mark-to-market,Mark-to-market,Portfolio/risk concept,Positioning & Risk,portfolios,strategy_code,text
Stop loss,Stop loss,Portfolio/risk concept,Positioning & Risk,risk_metrics,metric_value,numeric
Take profit,Take profit,Portfolio/risk concept,Positioning & Risk,trades,trade_id,bigint
Breakeven level,Breakeven level,Portfolio/risk concept,Positioning & Risk,portfolios,portfolio_id,bigint
Positioning data,Positioning data,Portfolio/risk concept,Positioning & Risk,risk_metrics,metric_id,bigint
CTA flows,CTA flows,Portfolio/risk concept,Positioning & Risk,trades,term_code,text
Fast money,Fast money,Portfolio/risk concept,Positioning & Risk,portfolios,term_code,text
Algo,Algo,Execution or microstructure term,Execution/Market Micro,risk_metrics,term_code,text
HFT,HFT,Execution or microstructure term,Execution/Market Micro,trades,counterparty_id,integer
Dark pool,Dark pool,Execution or microstructure term,Execution/Market Micro,portfolios,weight,numeric
Lit market,Lit market,Execution or microstructure term,Execution/Market Micro,risk_metrics,greek,text
RFQ,RFQ,Execution or microstructure term,Execution/Market Micro,trades,notional,numeric
Hit ratio,Hit ratio,Execution or microstructure term,Execution/Market Micro,portfolios,rebalance_date,date
Slippage,Slippage,Execution or microstructure term,Execution/Market Micro,risk_metrics,value_date,date
Latency,Latency,Execution or microstructure term,Execution/Market Micro,trades,trade_ts,timestamp
VWAP,Volume-Weighted Average Price,Execution or microstructure term,Execution/Market Micro,portfolios,strategy_code,text
TWAP,Time-Weighted Average Price,Execution or microstructure term,Execution/Market Micro,risk_metrics,metric_value,numeric
Iceberg order,Iceberg order,Execution or microstructure term,Execution/Market Micro,trades,trade_id,bigint
Flash crash,Flash crash,Execution or microstructure term,Execution/Market Micro,portfolios,portfolio_id,bigint
Spoofing,Spoofing,Execution or microstructure term,Execution/Market Micro,risk_metrics,metric_id,bigint
Quote stuffing,Quote stuffing,Execution or microstructure term,Execution/Market Micro,trades,term_code,text
Fat finger,Fat finger,Execution or microstructure term,Execution/Market Micro,portfolios,term_code,text
Limit order,Limit order,Execution or microstructure term,Execution/Market Micro,risk_metrics,term_code,text
Market order,Market order,Execution or microstructure term,Execution/Market Micro,trades,counterparty_id,integer
Stop order,Stop order,Execution or microstructure term,Execution/Market Micro,portfolios,weight,numeric
Stop-limit,Stop-limit,Execution or microstructure term,Execution/Market Micro,risk_metrics,greek,text
Fill or kill,Fill or kill,Execution or microstructure term,Execution/Market Micro,trades,notional,numeric
IOC,Immediate or Cancel,Execution or microstructure term,Execution/Market Micro,portfolios,rebalance_date,date
GTC,Good Till Cancelled,Execution or microstructure term,Execution/Market Micro,risk_metrics,value_date,date
GTD,Good Till Date,Execution or microstructure term,Execution/Market Micro,trades,trade_ts,timestamp
Sweep,Sweep,Execution or microstructure term,Execution/Market Micro,portfolios,strategy_code,text
Broker,Broker,Execution or microstructure term,Execution/Market Micro,risk_metrics,metric_value,numeric
Prop shop,Prop shop,Execution or microstructure term,Execution/Market Micro,trades,trade_id,bigint
LP,LP,Execution or microstructure term,Execution/Market Micro,portfolios,portfolio_id,bigint
MM,MM,Execution or microstructure term,Execution/Market Micro,risk_metrics,metric_id,bigint
Spread,Spread,Execution or microstructure term,Execution/Market Micro,trades,term_code,text
Depth,Depth,Execution or microstructure term,Execution/Market Micro,portfolios,term_code,text
Squawk box,Squawk box,General trading desk jargon,Misc/Desk,risk_metrics,term_code,text
Tape bomb,Tape bomb,General trading desk jargon,Misc/Desk,trades,counterparty_id,integer
Macro tourists,Macro tourists,General trading desk jargon,Misc/Desk,portfolios,weight,numeric
Flow monster,Flow monster,General trading desk jargon,Misc/Desk,risk_metrics,greek,text
Whale,Whale,General trading desk jargon,Misc/Desk,trades,notional,numeric
Retail herd,Retail herd,General trading desk jargon,Misc/Desk,portfolios,rebalance_date,date
Fast market,Fast market,General trading desk jargon,Misc/Desk,risk_metrics,value_date,date
Thin market,Thin market,General trading desk jargon,Misc/Desk,trades,trade_ts,timestamp
Cross-currents,Cross-currents,General trading desk jargon,Misc/Desk,portfolios,strategy_code,text
Fade the noise,Fade the noise,General trading desk jargon,Misc/Desk,risk_metrics,metric_value,numeric
Smack it,Smack it,General trading desk jargon,Misc/Desk,trades,trade_id,bigint
Hit it,Hit it,General trading desk jargon,Misc/Desk,portfolios,portfolio_id,bigint
Melt-up,Melt-up,General trading desk jargon,Misc/Desk,risk_metrics,metric_id,bigint
Flush,Flush,General trading desk jargon,Misc/Desk,trades,term_code,text
Risk desk,Risk desk,General trading desk jargon,Misc/Desk,portfolios,term_code,text
Sell-side,Sell-side,General trading desk jargon,Misc/Desk,risk_metrics,term_code,text
Buy-side,Buy-side,General trading desk jargon,Misc/Desk,trades,counterparty_id,integer
Prop desk,Prop desk,General trading desk jargon,Misc/Desk,portfolios,weight,numeric
Prime broker,Prime brokerage,General trading desk jargon,Misc/Desk,risk_metrics,greek,text
Backstop,Backstop,General trading desk jargon,Misc/Desk,trades,notional,numeric
Tracking error,Tracking error,Performance/risk metric,Portfolio Metrics,portfolios,rebalance_date,date
Information ratio,Information ratio,Performance/risk metric,Portfolio Metrics,risk_metrics,value_date,date
Active share,Active share,Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Risk parity,Risk parity,Portfolio construction concept or control,Portfolio Construction,portfolios,strategy_code,text
Core-satellite,Core-satellite,Risk/management concept,Risk/Other,risk_metrics,metric_value,numeric
Factor tilt,Factor tilt,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Value tilt,Value tilt,Portfolio construction concept or control,Portfolio Construction,portfolios,portfolio_id,bigint
Momentum tilt,Momentum tilt,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_id,bigint
Quality tilt,Quality tilt,Portfolio construction concept or control,Portfolio Construction,trades,term_code,text
Low-vol tilt,Low-vol tilt,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
Minimum variance,Minimum variance,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Equal weight,Equal weight,Risk/management concept,Risk/Other,trades,counterparty_id,integer
Black-Litterman,Black-Litterman,Risk/management concept,Risk/Other,portfolios,weight,numeric
Risk budgeting,Risk budgeting,Portfolio construction concept or control,Portfolio Construction,risk_metrics,greek,text
Risk overlay,Risk overlay,Portfolio construction concept or control,Portfolio Construction,trades,notional,numeric
Currency overlay,Currency overlay,Portfolio construction concept or control,Portfolio Construction,portfolios,rebalance_date,date
Rebalance band,Rebalance band,Portfolio construction concept or control,Portfolio Construction,risk_metrics,value_date,date
Turnover constraint,Turnover constraint,Portfolio construction concept or control,Portfolio Construction,trades,trade_ts,timestamp
Capacity constraint,Capacity constraint,Portfolio construction concept or control,Portfolio Construction,portfolios,strategy_code,text
Liquidity bucket,Liquidity bucket,Risk/management concept,Risk/Other,risk_metrics,metric_value,numeric
Sleeve,Sleeve,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Smart beta,Smart beta,Performance/risk metric,Portfolio Metrics,portfolios,portfolio_id,bigint
Custom benchmark,Custom benchmark,Performance/risk metric,Portfolio Metrics,risk_metrics,metric_id,bigint
Portable alpha,Portable alpha,Portfolio construction concept or control,Portfolio Construction,trades,term_code,text
ALM,Asset-liability management,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
Immunization,Immunization,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Duration matching,Duration matching,Performance/risk metric,Portfolio Metrics,trades,counterparty_id,integer
Cashflow matching,Cashflow matching,Risk/management concept,Risk/Other,portfolios,weight,numeric
Glide path,Glide path,Portfolio construction concept or control,Portfolio Construction,risk_metrics,greek,text
Target-date,Target-date,Portfolio construction concept or control,Portfolio Construction,trades,notional,numeric
Tactical asset allocation,Tactical asset allocation,Portfolio construction concept or control,Portfolio Construction,portfolios,rebalance_date,date
Strategic asset allocation,Strategic asset allocation,Portfolio construction concept or control,Portfolio Construction,risk_metrics,value_date,date
Dynamic beta,Dynamic beta,Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Vol targeting,Vol targeting,Portfolio construction concept or control,Portfolio Construction,portfolios,strategy_code,text
Tail allocation,Tail allocation,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_value,numeric
Crisis alpha,Crisis alpha,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Min drawdown,Min drawdown,Risk/management concept,Risk/Other,portfolios,portfolio_id,bigint
Max Sharpe,Max Sharpe,Performance/risk metric,Portfolio Metrics,risk_metrics,metric_id,bigint
Max diversification,Max diversification,Risk/management concept,Risk/Other,trades,term_code,text
Hierarchical risk parity,Hierarchical risk parity,Portfolio construction concept or control,Portfolio Construction,portfolios,term_code,text
ERC,Equal risk contribution,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Kelly sizing,Kelly sizing,Risk/management concept,Risk/Other,trades,counterparty_id,integer
Half-Kelly,Half-Kelly,Risk/management concept,Risk/Other,portfolios,weight,numeric
Stop grid,Stop grid,Risk/management concept,Risk/Other,risk_metrics,greek,text
Position cap,Position cap,Risk/management concept,Risk/Other,trades,notional,numeric
Name cap,Name cap,Risk/management concept,Risk/Other,portfolios,rebalance_date,date
Sector cap,Sector cap,Risk/management concept,Risk/Other,risk_metrics,value_date,date
Tracking band,Tracking band,Portfolio construction concept or control,Portfolio Construction,trades,trade_ts,timestamp
TE budget,Tracking error budget,Portfolio construction concept or control,Portfolio Construction,portfolios,strategy_code,text
Risk waterfall,Risk waterfall,Risk/management concept,Risk/Other,risk_metrics,metric_value,numeric
Attribution effect,Attribution effect,Risk/management concept,Risk/Other,trades,trade_id,bigint
Selection effect,Selection effect,Risk/management concept,Risk/Other,portfolios,portfolio_id,bigint
Allocation effect,Allocation effect,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_id,bigint
Interaction effect,Interaction effect,Risk/management concept,Risk/Other,trades,term_code,text
Factor exposure,Factor exposure,Risk/management concept,Risk/Other,portfolios,term_code,text
Factor timing,Factor timing,Risk/management concept,Risk/Other,risk_metrics,term_code,text
Factor crowding,Factor crowding,Risk/management concept,Risk/Other,trades,counterparty_id,integer
Style drift,Style drift,Risk/management concept,Risk/Other,portfolios,weight,numeric
Constraint shadow price,Constraint shadow price,Portfolio construction concept or control,Portfolio Construction,risk_metrics,greek,text
Resampled frontier,Resampled frontier,Portfolio construction concept or control,Portfolio Construction,trades,notional,numeric
Robust frontier,Robust frontier,Portfolio construction concept or control,Portfolio Construction,portfolios,rebalance_date,date
Bayesian shrinkage,Bayesian shrinkage,Risk/management concept,Risk/Other,risk_metrics,value_date,date
Resampling,Resampling,Risk/management concept,Risk/Other,trades,trade_ts,timestamp
Blending,Blending,Risk/management concept,Risk/Other,portfolios,strategy_code,text
Overlay mandate,Overlay mandate,Portfolio construction concept or control,Portfolio Construction,risk_metrics,metric_value,numeric
Sleeve mandate,Sleeve mandate,Portfolio construction concept or control,Portfolio Construction,trades,trade_id,bigint
Portable beta,Portable beta,Risk/management concept,Risk/Other,portfolios,portfolio_id,bigint
